datum,vakcina,kraj_nuts_kod,kraj_nazev,vekova_skupina,prvnich_davek,druhych_davek
2020-12-27,Comirnaty,CZ010,Hlavní město Praha,18-24,48,0
2020-12-27,Comirnaty,CZ010,Hlavní město Praha,25-29,108,0
2020-12-27,Comirnaty,CZ010,Hlavní město Praha,30-34,102,0
2020-12-27,Comirnaty,CZ010,Hlavní město Praha,35-39,112,0
2020-12-27,Comirnaty,CZ010,Hlavní město Praha,40-44,170,0
2020-12-27,Comirnaty,CZ010,Hlavní město Praha,45-49,156,0
2020-12-27,Comirnaty,CZ010,Hlavní město Praha,50-54,127,0
2020-12-27,Comirnaty,CZ010,Hlavní město Praha,55-59,96,0
2020-12-27,Comirnaty,CZ010,Hlavní město Praha,60-64,85,0
2020-12-27,Comirnaty,CZ010,Hlavní město Praha,65-69,79,0
2020-12-27,Comirnaty,CZ010,Hlavní město Praha,70-74,48,0
2020-12-27,Comirnaty,CZ010,Hlavní město Praha,75-79,19,0
2020-12-27,Comirnaty,CZ010,Hlavní město Praha,80+,24,0
2020-12-27,Comirnaty,CZ010,Hlavní město Praha,nezařazeno,2,0
2020-12-27,Comirnaty,CZ064,Jihomoravský kraj,25-29,3,0
2020-12-27,Comirnaty,CZ064,Jihomoravský kraj,30-34,7,0
2020-12-27,Comirnaty,CZ064,Jihomoravský kraj,35-39,8,0
2020-12-27,Comirnaty,CZ064,Jihomoravský kraj,40-44,6,0
2020-12-27,Comirnaty,CZ064,Jihomoravský kraj,45-49,10,0
2020-12-27,Comirnaty,CZ064,Jihomoravský kraj,50-54,14,0
2020-12-27,Comirnaty,CZ064,Jihomoravský kraj,55-59,11,0
2020-12-27,Comirnaty,CZ064,Jihomoravský kraj,60-64,10,0
2020-12-27,Comirnaty,CZ064,Jihomoravský kraj,65-69,2,0
2020-12-27,Comirnaty,CZ064,Jihomoravský kraj,80+,1,0
2020-12-27,Comirnaty,CZ080,Moravskoslezský kraj,40-44,1,0
2020-12-28,Comirnaty,CZ010,Hlavní město Praha,18-24,58,0
2020-12-28,Comirnaty,CZ010,Hlavní město Praha,25-29,109,0
2020-12-28,Comirnaty,CZ010,Hlavní město Praha,30-34,123,0
2020-12-28,Comirnaty,CZ010,Hlavní město Praha,35-39,111,0
2020-12-28,Comirnaty,CZ010,Hlavní město Praha,40-44,167,0
2020-12-28,Comirnaty,CZ010,Hlavní město Praha,45-49,183,0
2020-12-28,Comirnaty,CZ010,Hlavní město Praha,50-54,134,0
2020-12-28,Comirnaty,CZ010,Hlavní město Praha,55-59,109,0
2020-12-28,Comirnaty,CZ010,Hlavní město Praha,60-64,108,0
2020-12-28,Comirnaty,CZ010,Hlavní město Praha,65-69,96,0
2020-12-28,Comirnaty,CZ010,Hlavní město Praha,70-74,67,0
2020-12-28,Comirnaty,CZ010,Hlavní město Praha,75-79,17,0
2020-12-28,Comirnaty,CZ010,Hlavní město Praha,80+,36,0
2020-12-28,Comirnaty,CZ010,Hlavní město Praha,nezařazeno,1,0
2020-12-28,Comirnaty,CZ064,Jihomoravský kraj,18-24,20,0
2020-12-28,Comirnaty,CZ064,Jihomoravský kraj,25-29,83,0
2020-12-28,Comirnaty,CZ064,Jihomoravský kraj,30-34,103,0
2020-12-28,Comirnaty,CZ064,Jihomoravský kraj,35-39,105,0
2020-12-28,Comirnaty,CZ064,Jihomoravský kraj,40-44,126,0
2020-12-28,Comirnaty,CZ064,Jihomoravský kraj,45-49,143,0
2020-12-28,Comirnaty,CZ064,Jihomoravský kraj,50-54,104,0
2020-12-28,Comirnaty,CZ064,Jihomoravský kraj,55-59,92,0
2020-12-28,Comirnaty,CZ064,Jihomoravský kraj,60-64,72,0
2020-12-28,Comirnaty,CZ064,Jihomoravský kraj,65-69,42,0
2020-12-28,Comirnaty,CZ064,Jihomoravský kraj,70-74,13,0
2020-12-28,Comirnaty,CZ064,Jihomoravský kraj,75-79,8,0
2020-12-28,Comirnaty,CZ064,Jihomoravský kraj,80+,62,0
2020-12-29,Comirnaty,CZ010,Hlavní město Praha,18-24,44,0
2020-12-29,Comirnaty,CZ010,Hlavní město Praha,25-29,113,0
2020-12-29,Comirnaty,CZ010,Hlavní město Praha,30-34,123,0
2020-12-29,Comirnaty,CZ010,Hlavní město Praha,35-39,128,0
2020-12-29,Comirnaty,CZ010,Hlavní město Praha,40-44,141,0
2020-12-29,Comirnaty,CZ010,Hlavní město Praha,45-49,177,0
2020-12-29,Comirnaty,CZ010,Hlavní město Praha,50-54,150,0
2020-12-29,Comirnaty,CZ010,Hlavní město Praha,55-59,140,0
2020-12-29,Comirnaty,CZ010,Hlavní město Praha,60-64,103,0
2020-12-29,Comirnaty,CZ010,Hlavní město Praha,65-69,89,0
2020-12-29,Comirnaty,CZ010,Hlavní město Praha,70-74,68,0
2020-12-29,Comirnaty,CZ010,Hlavní město Praha,75-79,27,0
2020-12-29,Comirnaty,CZ010,Hlavní město Praha,80+,43,0
2020-12-29,Comirnaty,CZ064,Jihomoravský kraj,18-24,52,0
2020-12-29,Comirnaty,CZ064,Jihomoravský kraj,25-29,156,0
2020-12-29,Comirnaty,CZ064,Jihomoravský kraj,30-34,117,0
2020-12-29,Comirnaty,CZ064,Jihomoravský kraj,35-39,163,0
2020-12-29,Comirnaty,CZ064,Jihomoravský kraj,40-44,241,0
2020-12-29,Comirnaty,CZ064,Jihomoravský kraj,45-49,227,0
2020-12-29,Comirnaty,CZ064,Jihomoravský kraj,50-54,175,0
2020-12-29,Comirnaty,CZ064,Jihomoravský kraj,55-59,162,0
2020-12-29,Comirnaty,CZ064,Jihomoravský kraj,60-64,126,0
2020-12-29,Comirnaty,CZ064,Jihomoravský kraj,65-69,76,0
2020-12-29,Comirnaty,CZ064,Jihomoravský kraj,70-74,30,0
2020-12-29,Comirnaty,CZ064,Jihomoravský kraj,75-79,27,0
2020-12-29,Comirnaty,CZ064,Jihomoravský kraj,80+,237,0
2020-12-29,Comirnaty,CZ080,Moravskoslezský kraj,0-17,1,0
2020-12-29,Comirnaty,CZ080,Moravskoslezský kraj,18-24,9,0
2020-12-29,Comirnaty,CZ080,Moravskoslezský kraj,25-29,36,0
2020-12-29,Comirnaty,CZ080,Moravskoslezský kraj,30-34,34,0
2020-12-29,Comirnaty,CZ080,Moravskoslezský kraj,35-39,31,0
2020-12-29,Comirnaty,CZ080,Moravskoslezský kraj,40-44,47,0
